time_index,time,MSE,MAE,Relative_L2_Error,NRMSE,NMAE,Relative_Max_Error,PSNR_dB,Correlation,Energy_Ratio,Mean_Bias,Reference_Max_Abs,Prediction_Max_Abs,Error_Max_Abs,scenario,source_case
33,0.09041095525026321,3.000334478340125e-06,0.0013496277139582367,0.3737631335413813,0.011637683360835694,0.009067669615537443,0.13003353772936987,38.682669266125146,0.9354580512882171,1.1259821967420363,-2.459723480296513e-05,0.14883953332901,0.13919684290885925,0.01935413107275963,heterogeneous,multi_source
66,0.18082191050052643,3.1593645161558335e-06,0.0013514175928190466,0.12758500813072796,0.013634068099537924,0.010366094391305893,0.1797600777330497,37.307490822301084,0.9920064037329509,1.022280363871295,5.054504851116709e-05,0.13036902248859406,0.13612410426139832,0.023435145616531372,heterogeneous,multi_source
99,0.27123287320137024,2.619391286476664e-06,0.0012870776867766687,0.10535529866013656,0.013366746323592426,0.010629926902366362,0.0499327471085141,37.47948587970498,0.9944515623952257,0.9998958840327336,-3.446360997670339e-05,0.12108057737350464,0.11672116816043854,0.0060458858497440815,heterogeneous,multi_source
132,0.36164382100105286,2.511335435116552e-06,0.0012506491844429357,0.10310663929548153,0.019155947542175967,0.015117736834898846,0.08656565261890722,34.35392721853003,0.9946592718546211,0.9999822559799364,6.332233640379104e-05,0.08272727578878403,0.08215169608592987,0.007161340676248074,heterogeneous,multi_source
165,0.45205479860305786,2.2777881089428333e-06,0.0011866768956052,0.10319891255651849,0.017291343423062083,0.013595793588497426,0.07286723255955098,35.243425272107004,0.9946172635733901,0.9882913012473332,-8.833658469236615e-06,0.08728265017271042,0.08642081171274185,0.006360045168548822,heterogeneous,multi_source
198,0.5424657464027405,2.33794980895399e-06,0.0011880305831157654,0.10607591958975628,0.02044887288161917,0.015888372167623663,0.09939295615129662,33.78661249619721,0.9943632773877813,0.997758815356215,4.505737868468565e-05,0.07477358728647232,0.07222632318735123,0.007431968115270138,heterogeneous,multi_source
33,0.09041095525026321,3.0419572263753295e-06,0.0013821866843053018,0.36092323958966754,0.010604607885966136,0.008403975313075985,0.0868077344097827,39.49010770487107,0.9390575147069333,1.108201870768697,1.096334177697816e-05,0.1644681990146637,0.15451765060424805,0.014277111738920212,faulted,multi_source
66,0.18082191050052643,3.126827810122571e-06,0.0013581844226649804,0.12613363514413978,0.01397212993248521,0.010731721107251457,0.20432674108656154,37.09474768671277,0.992139996156146,1.0093199260797756,0.00014086749604554498,0.12655793130397797,0.1268879920244217,0.02585916966199875,faulted,multi_source
99,0.27123287320137024,2.5775222629300747e-06,0.0012744282222734817,0.11213193342395882,0.016050409819861645,0.012740905474399938,0.06669656351158629,35.89027748296134,0.9937706625834152,1.0020580850713379,0.00014730630974217935,0.10002650320529938,0.10132177919149399,0.006671424023807049,faulted,multi_source
132,0.36164382100105286,2.6880362681846165e-06,0.0012962586513715832,0.13086549764565808,0.017495206209566093,0.013832260891055879,0.07398476550987378,35.141618685629055,0.9914833625780785,0.9995251925492087,0.00016961573536536191,0.0937127098441124,0.0935722216963768,0.006933312863111496,faulted,multi_source
165,0.45205479860305786,2.504765611586633e-06,0.0012447477409899175,0.12602880248298834,0.020157674475099134,0.01585397716169307,0.10006524738766093,33.91119144937923,0.9920799103538452,0.9997217469104674,8.476659791503894e-05,0.07851327955722809,0.07979588210582733,0.007856450974941254,faulted,multi_source
198,0.5424657464027405,2.464356799679596e-06,0.0012185031372532419,0.1211677325864745,0.020867597919139367,0.016197474998383397,0.09240624492729323,33.61055079876071,0.9925960202340558,0.982044190469832,2.9489118240054576e-05,0.07522796839475632,0.07505610585212708,0.006951534189283848,faulted,multi_source
